path,size,sha256
downloads/video/2019-11-13-lsd-and-the-mind-of-the-universe-diamonds-from-heaven.mp4,384731255,c1a404ba41a1fe4c12ca34ee5cb5ab246002e5058b6ba0e95618791958714a01
downloads/video/2019-11-18-behind-the-curtain-christopher-m-bache-phd-episode-64.mp4,39037676,7ec9e9a9fa52ee598efef5a75012738f296fbcaf0c132c1a28ad9b98612e3674
downloads/video/2019-11-25-live-with-chris-bache-73-lsd-sessions-journey-through-the-mind-of-the-universe-w-vanese-mc-neill.mp4,224897670,994a810e9055f06391e8c48e90ffbe57c10af5ade6ebbbfffc5232c7ee335851
downloads/video/2020-01-07-lsd-and-the-mind-of-the-universe-diamonds-from-heaven.mp4,275774056,abdf4e7fcd5689afa86fdd316253d7329c0dd576987e5a5659203831d7c67964
downloads/video/2020-01-10-prof-dr-christopher-bache-about-his-work-and-consciousness.mp4,179053526,62d970b6ed8120ad68e575a3455b851a618e3bc851e8cdb9f84750f403802029
downloads/video/2020-01-17-diamond-luminosity-exploring-high-dose-lsd-experiences-with-dr.mp4,177643885,8d1d064a4ce12fa15d91ea069554fed7a4f12d11387239794df8c5e1d42933c4
downloads/video/2020-03-22-behind-the-curtain-with-christopher-m-bache-phd-episode-64.mp4,416575681,14d2dbd50fdba73098a0ffda06eba00cb3c55e2aea40ef98617f752eab59099d
downloads/video/2020-04-19-bicycle-day-conversation-with-jef-baker.mp4,289318507,5da6f1508586434b8193279bb564278571c52ee1dcb420e9689edb282d055e78
downloads/video/2020-05-13-ep6-chris-bache-lsd-and-the-mind-of-the-universe.mp4,287369837,50b8bc98f647f7d37750ae3b0caf97928c1864f87a37df062d3419a080db5123
downloads/video/2020-10-04-a-visionary-experience-of-the-birth-of-the-future-human.mp4,519022882,f5b724840046ba96c748d8f1dba15bdac2e2a85a781b9e3af998928ecb51cada
downloads/video/2020-12-03-what-73-high-dose-lsd-sessions-teach-you-about-the-mind-of-the-universe-w-christopher-m-bache-ep11.mp4,313905369,ea6e24f283fa34cf211f4e947f11f04460bc64882ec9eec06b080178032c7dc6
downloads/video/2020-12-21-great-conjunction-reflection-short.mp4,56486072,9794ee2af0190e89aa17458ba74d6f7fa30c5f651f100aba72130139e3de5aea
downloads/video/2021-01-02-discover-the-mind-of-the-universe-lsd-psychedelic-research-with-professor-christopher-m-bache.mp4,121882530,2ec8da722cb051b7a0bd50c3de30ea1b23a14aff92b44d31dc2c5d93be820cca
